# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	27567	28163	+					recR		BA_RS00135	597		old_locus_tag=BA0021,BA_0021
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	27567	28163	+	WP_000559171.1	WP_000559171.1		recombination protein RecR	recR		BA_RS00135	597	198	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	28178	28399	+							BA_RS00140	222		old_locus_tag=BA0022,BA_0022
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	28178	28399	+	WP_000466023.1	WP_000466023.1		YaaL family protein			BA_RS00140	222	73	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	28614	28883	+							BA_RS00145	270		old_locus_tag=BA0024,BA_0024
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	28614	28883	+	WP_001089263.1	WP_001089263.1		pro-sigmaK processing inhibitor BofA family protein			BA_RS00145	270	89	
gene	rRNA	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	29102	30653	+							BA_RS00150	1552		old_locus_tag=BA_5745
rRNA		GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	29102	30653	+				16S ribosomal RNA			BA_RS00150	1552		
gene	tRNA	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	30786	30862	+							BA_RS00155	77		old_locus_tag=BA_5746
tRNA		GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	30786	30862	+				tRNA-Ile			BA_RS00155	77		anticodon=GAT
gene	tRNA	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	30871	30946	+							BA_RS00160	76		old_locus_tag=BA_5747
tRNA		GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	30871	30946	+				tRNA-Ala			BA_RS00160	76		anticodon=TGC
gene	rRNA	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	31027	33948	+							BA_RS00165	2922		old_locus_tag=BA_5748
rRNA		GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	31027	33948	+				23S ribosomal RNA			BA_RS00165	2922		
gene	rRNA	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	33997	34112	+					rrf		BA_RS00170	116		old_locus_tag=BA_5749
rRNA		GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	33997	34112	+				5S ribosomal RNA	rrf		BA_RS00170	116		
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	34303	34482	+							BA_RS00175	180		old_locus_tag=BA0025,BA_0025
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	34303	34482	+	WP_000842027.1	WP_000842027.1		sigma factor G inhibitor Gin			BA_RS00175	180	59	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	34554	35975	+							BA_RS00180	1422		old_locus_tag=BA0026,BA_0026
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	34554	35975	+	WP_001075286.1	WP_001075286.1		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme			BA_RS00180	1422	473	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	35977	36603	+					tmk		BA_RS00185	627		old_locus_tag=BA0027,BA_0027
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	35977	36603	+	WP_000677237.1	WP_000677237.1		dTMP kinase	tmk		BA_RS00185	627	208	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	36639	37622	+					holB		BA_RS00190	984		old_locus_tag=BA0028,BA_0028
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	36639	37622	+	WP_000169560.1	WP_000169560.1		DNA polymerase III subunit delta'	holB		BA_RS00190	984	327	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	37628	38455	+							BA_RS00195	828		old_locus_tag=BA0029,BA_0029
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	37628	38455	+	WP_000272429.1	WP_000272429.1		stage 0 sporulation family protein			BA_RS00195	828	275	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	38470	38820	+					yabA		BA_RS00200	351		old_locus_tag=BA0030,BA_0030
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	38470	38820	+	WP_000412056.1	WP_000412056.1		DNA replication initiation control protein YabA	yabA		BA_RS00200	351	116	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	38941	39681	+							BA_RS00205	741		old_locus_tag=BA0031,BA_0031
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	38941	39681	+	WP_001055363.1	WP_001055363.1		tRNA1(Val) (adenine(37)-N6)-methyltransferase			BA_RS00205	741	246	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	39668	39958	+							BA_RS00210	291		old_locus_tag=BA0032,BA_0032
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	39668	39958	+	WP_000414342.1	WP_000414342.1		GIY-YIG nuclease family protein			BA_RS00210	291	96	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	39927	40802	+					rsmI		BA_RS00215	876		old_locus_tag=BA0033,BA_0033
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	39927	40802	+	WP_000267808.1	WP_000267808.1		16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI		BA_RS00215	876	291	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	40823	41107	-							BA_RS00220	285		old_locus_tag=BA0034,BA_0034
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	40823	41107	-	WP_000843035.1	WP_000843035.1		AbrB/MazE/SpoVT family DNA-binding domain-containing protein			BA_RS00220	285	94	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	41598	43580	+					metG		BA_RS00225	1983		old_locus_tag=BA0036,BA_0036
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	41598	43580	+	WP_000134128.1	WP_000134128.1		methionine--tRNA ligase	metG		BA_RS00225	1983	660	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	43746	44513	+							BA_RS00230	768		old_locus_tag=BA0037,BA_0037
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	43746	44513	+	WP_000895823.1	WP_000895823.1		TatD family hydrolase			BA_RS00230	768	255	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	44728	45285	+					rnmV		BA_RS00235	558		old_locus_tag=BA0038,BA_0038
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	44728	45285	+	WP_000692830.1	WP_000692830.1		ribonuclease M5	rnmV		BA_RS00235	558	185	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	45282	46160	+					rsmA		BA_RS00240	879		old_locus_tag=BA0039,BA_0039
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	45282	46160	+	WP_000651552.1	WP_000651552.1		16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	rsmA		BA_RS00240	879	292	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	46271	47134	+					yabG		BA_RS00245	864		old_locus_tag=BA0040,BA_0040
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	46271	47134	+	WP_001173738.1	WP_001173738.1		sporulation peptidase YabG	yabG		BA_RS00245	864	287	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	47373	47633	+							BA_RS00250	261		old_locus_tag=BA0041,BA_0041
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	47373	47633	+	WP_000044349.1	WP_000044349.1		Veg family protein			BA_RS00250	261	86	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	47725	47904	+					sspF		BA_RS00255	180		old_locus_tag=BA0042,BA_0042
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	47725	47904	+	WP_001985066.1	WP_001985066.1		acid-soluble spore protein SspF	sspF		BA_RS00255	180	59	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	48101	48970	+					ispE		BA_RS00260	870		old_locus_tag=BA0043,BA_0043
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	48101	48970	+	WP_000772091.1	WP_000772091.1		4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	ispE		BA_RS00260	870	289	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	49025	49873	+					purR		BA_RS00265	849		old_locus_tag=BA0044,BA_0044
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	49025	49873	+	WP_000702472.1	WP_000702472.1		pur operon repressor	purR		BA_RS00265	849	282	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	49996	50370	+							BA_RS00270	375		old_locus_tag=BA0046,BA_0046
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	49996	50370	+	WP_000869808.1	WP_000869808.1		RidA family protein			BA_RS00270	375	124	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	50523	50816	+					spoVG		BA_RS00275	294		old_locus_tag=BA0047,BA_0047
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	50523	50816	+	WP_000454041.1	WP_000454041.1		septation regulator SpoVG	spoVG		BA_RS00275	294	97	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	51139	52518	+					glmU		BA_RS00280	1380		old_locus_tag=BA0048,BA_0048
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	51139	52518	+	WP_000071032.1	WP_000071032.1		bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	glmU		BA_RS00280	1380	459	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	52537	53490	+							BA_RS00285	954		old_locus_tag=BA0049,BA_0049
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	52537	53490	+	WP_000107420.1	WP_000107420.1		ribose-phosphate diphosphokinase			BA_RS00285	954	317	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	53500	54123	+					pth		BA_RS00290	624		old_locus_tag=BA0050,BA_0050
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	53500	54123	+	WP_001254063.1	WP_001254063.1		aminoacyl-tRNA hydrolase	pth		BA_RS00290	624	207	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	54194	54418	+							BA_RS00295	225		old_locus_tag=BA0051,BA_0051
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	54194	54418	+	WP_000399440.1	WP_000399440.1		DUF2757 family protein			BA_RS00295	225	74	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	54524	58054	+					mfd		BA_RS00300	3531		old_locus_tag=BA0052,BA_0052
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	54524	58054	+	WP_000579702.1	WP_000579702.1		transcription-repair coupling factor	mfd		BA_RS00300	3531	1176	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	58190	58726	+					spoVT		BA_RS00305	537		old_locus_tag=BA0053,BA_0053
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	58190	58726	+	WP_000648307.1	WP_000648307.1		stage V sporulation protein T	spoVT		BA_RS00305	537	178	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	58957	60558	+							BA_RS00310	1602		old_locus_tag=BA0054,BA_0054
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	58957	60558	+	WP_000444144.1	WP_000444144.1		oligosaccharide flippase family protein			BA_RS00310	1602	533	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	60571	62031	+					mazG		BA_RS00315	1461		old_locus_tag=BA0055,BA_0055
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	60571	62031	+	WP_000014253.1	WP_000014253.1		nucleoside triphosphate pyrophosphohydrolase	mazG		BA_RS00315	1461	486	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	62046	62321	+							BA_RS00320	276		old_locus_tag=BA0056,BA_0056
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	62046	62321	+	WP_001234876.1	WP_001234876.1		RNA-binding S4 domain-containing protein			BA_RS00320	276	91	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	62380	62688	+					yabP		BA_RS00325	309		old_locus_tag=BA0057,BA_0057
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	62380	62688	+	WP_001059101.1	WP_001059101.1		sporulation protein YabP	yabP		BA_RS00325	309	102	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	62685	63338	+					yabQ		BA_RS00330	654		old_locus_tag=BA0058,BA_0058
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	62685	63338	+	WP_000059767.1	WP_000059767.1		spore cortex biosynthesis protein YabQ	yabQ		BA_RS00330	654	217	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	63335	63694	+					divIC		BA_RS00335	360		old_locus_tag=BA0059,BA_0059
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	63335	63694	+	WP_001208736.1	WP_001208736.1		cell division protein DivIC	divIC		BA_RS00335	360	119	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	63782	64264	+							BA_RS00340	483		old_locus_tag=BA0060,BA_0060
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	63782	64264	+	WP_000021452.1	WP_000021452.1		S1 domain-containing RNA-binding protein			BA_RS00340	483	160	
gene	tRNA	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	64425	64498	+							BA_RS00345	74		old_locus_tag=BA_5750
tRNA		GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	64425	64498	+				tRNA-Met			BA_RS00345	74		anticodon=CAT
gene	tRNA	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	64512	64583	+							BA_RS00350	72		old_locus_tag=BA_5751
tRNA		GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	64512	64583	+				tRNA-Glu			BA_RS00350	72		anticodon=TTC
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	64843	67314	+					spoIIE		BA_RS00355	2472		old_locus_tag=BA0061,BA_0061
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	64843	67314	+	WP_001123531.1	WP_001123531.1		stage II sporulation protein E	spoIIE		BA_RS00355	2472	823	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	67548	68978	+					tilS		BA_RS00360	1431		old_locus_tag=BA0062,BA_0062
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	67548	68978	+	WP_000655474.1	WP_000655474.1		tRNA lysidine(34) synthetase TilS	tilS		BA_RS00360	1431	476	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	68975	69517	+					hpt		BA_RS00365	543		old_locus_tag=BA0063,BA_0063
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	68975	69517	+	WP_000981838.1	WP_000981838.1		hypoxanthine phosphoribosyltransferase	hpt		BA_RS00365	543	180	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	69603	71504	+					ftsH		BA_RS00370	1902		old_locus_tag=BA0064,BA_0064
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	69603	71504	+	WP_001079659.1	WP_001079659.1		ATP-dependent zinc metalloprotease FtsH	ftsH		BA_RS00370	1902	633	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	71729	72517	+							BA_RS00375	789		old_locus_tag=BA0065,BA_0065
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	71729	72517	+	WP_000578367.1	WP_000578367.1		type III pantothenate kinase			BA_RS00375	789	262	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	72524	73399	+					hslO		BA_RS00380	876		old_locus_tag=BA0066,BA_0066
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	72524	73399	+	WP_000656366.1	WP_000656366.1		redox-regulated molecular chaperone HslO	hslO		BA_RS00380	876	291	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	73504	74427	+					cysK		BA_RS00385	924		old_locus_tag=BA0067,BA_0067
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	73504	74427	+	WP_001261709.1	WP_001261709.1		cysteine synthase A	cysK		BA_RS00385	924	307	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	74648	76045	+					pabB		BA_RS00390	1398		old_locus_tag=BA0068,BA_0068
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	74648	76045	+	WP_001189680.1	WP_001189680.1		aminodeoxychorismate synthase component I	pabB		BA_RS00390	1398	465	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	76051	76638	+					pabA		BA_RS00395	588		old_locus_tag=BA0069,BA_0069
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	76051	76638	+	WP_000602287.1	WP_000602287.1		aminodeoxychorismate/anthranilate synthase component II	pabA		BA_RS00395	588	195	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	76632	77504	+					pabC		BA_RS00400	873		old_locus_tag=BA0070,BA_0070
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	76632	77504	+	WP_000909894.1	WP_000909894.1		aminodeoxychorismate lyase	pabC		BA_RS00400	873	290	
